username,hours,user_id,title,text,tags,sentiment,developer,narrativa,jugabilidad,atmósfera,dificultad,tono_emocional
ObiWankChernobyl,4.1,76561197988923059,f.e.a.r. 3,took less than 4 hours to finnish campaign and the multiplayer wasnt even worth playing,"['FPS', 'Horror', 'Action', 'Co-op', 'Multiplayer', 'Shooter', 'Singleplayer', 'Gore', 'Online Co-Op', 'First-Person', 'Bullet Time', 'Sci-fi', 'Adventure', 'Zombies', 'Mechs', 'Story Rich', 'Atmospheric', 'Short', 'Controller']",Mostly Positive,Day 1 Studios,2,2,3,2,negativo
pain,9.7,76561198077995610,f.e.a.r. 3,#notthatspooky,"['FPS', 'Horror', 'Action', 'Co-op', 'Multiplayer', 'Shooter', 'Singleplayer', 'Gore', 'Online Co-Op', 'First-Person', 'Bullet Time', 'Sci-fi', 'Adventure', 'Zombies', 'Mechs', 'Story Rich', 'Atmospheric', 'Short', 'Controller']",Mostly Positive,Day 1 Studios,3,4,3,2,neutral
MasterofFaces1,5.3,76561198035857269,f.e.a.r. 3,"This is a good game if you play it with a friend like I did, if not it will get boring fast.","['FPS', 'Horror', 'Action', 'Co-op', 'Multiplayer', 'Shooter', 'Singleplayer', 'Gore', 'Online Co-Op', 'First-Person', 'Bullet Time', 'Sci-fi', 'Adventure', 'Zombies', 'Mechs', 'Story Rich', 'Atmospheric', 'Short', 'Controller']",Mostly Positive,Day 1 Studios,3,4,4,2,positivo
ExhibitNumber1332,72.8,76561198108917345,f.e.a.r. 3,I wanna hug Alma.,"['FPS', 'Horror', 'Action', 'Co-op', 'Multiplayer', 'Shooter', 'Singleplayer', 'Gore', 'Online Co-Op', 'First-Person', 'Bullet Time', 'Sci-fi', 'Adventure', 'Zombies', 'Mechs', 'Story Rich', 'Atmospheric', 'Short', 'Controller']",Mostly Positive,Day 1 Studios,3,4,5,3,positivo
Zero,4.8,76561197998100811,f.e.a.r. 3,"4 hours of complete repetitive play.....go get resedent evil if you wanna good coop ""horror"" game. if you want to play a fps with some of the lamest jump scares, atmosphers you have found your game. ive played games from the early 90s scarier than this.","['FPS', 'Horror', 'Action', 'Co-op', 'Multiplayer', 'Shooter', 'Singleplayer', 'Gore', 'Online Co-Op', 'First-Person', 'Bullet Time', 'Sci-fi', 'Adventure', 'Zombies', 'Mechs', 'Story Rich', 'Atmospheric', 'Short', 'Controller']",Mostly Positive,Day 1 Studios,1,2,1,2,negativo
Fugitive Mind,5.8,76561198105445916,f.e.a.r. 3,A generic FPS that lacks the horror elements of the first two games and features poor level design. There is absolutely no reason to pick up FEAR 3.,"['FPS', 'Horror', 'Action', 'Co-op', 'Multiplayer', 'Shooter', 'Singleplayer', 'Gore', 'Online Co-Op', 'First-Person', 'Bullet Time', 'Sci-fi', 'Adventure', 'Zombies', 'Mechs', 'Story Rich', 'Atmospheric', 'Short', 'Controller']",Mostly Positive,Day 1 Studios,1,2,1,2,negativo
2010gustavoa,112.0,76561198126921249,f.e.a.r. 3,A litlle complicate and chalange game but is good.IM recomemded.good lock,"['FPS', 'Horror', 'Action', 'Co-op', 'Multiplayer', 'Shooter', 'Singleplayer', 'Gore', 'Online Co-Op', 'First-Person', 'Bullet Time', 'Sci-fi', 'Adventure', 'Zombies', 'Mechs', 'Story Rich', 'Atmospheric', 'Short', 'Controller']",Mostly Positive,Day 1 Studios,2,3,4,3,positivo
MountaindewM,4.8,76561198090710667,f.e.a.r. 3,This is a good FPS but I felt it is far to short to be a game that you should spend alot of cash on so far past the release the date.  So definatley buy it if it's on sale or in a bundle but don't bother spending more than $10 on it now since I did CO-OP and beat it in around 3 hours.,"['FPS', 'Horror', 'Action', 'Co-op', 'Multiplayer', 'Shooter', 'Singleplayer', 'Gore', 'Online Co-Op', 'First-Person', 'Bullet Time', 'Sci-fi', 'Adventure', 'Zombies', 'Mechs', 'Story Rich', 'Atmospheric', 'Short', 'Controller']",Mostly Positive,Day 1 Studios,2,3,4,2,neutral
Xeogred,2.2,76561197969808931,f.e.a.r. 3,"I'm pretty easy to please with FPS's, but this together with Perfect Dark Zero and Red Faction 2, is one of the worst sequels I've ever played. I first tried this on the 360 and then got it for pennies on a Steam sale or something apparently, well I want those pennies back. I am a huge fan of the first two games because of the amazing combat, cool atmosphere, and fantastic level design. This fails on all accounts plus more, even the new engine somehow feels chunkier and like a backstep from FEAR 2. The levels are small, the game just spams you with enemies with no time to take in any atmosphere whatsoever, the story and music is dryer than sand, and this game simply does nothing good. Surely there is another FPS you could be playing instead of this. Gotta love those ninja zombies who throw rapid firing silent knives or something at you.","['FPS', 'Horror', 'Action', 'Co-op', 'Multiplayer', 'Shooter', 'Singleplayer', 'Gore', 'Online Co-Op', 'First-Person', 'Bullet Time', 'Sci-fi', 'Adventure', 'Zombies', 'Mechs', 'Story Rich', 'Atmospheric', 'Short', 'Controller']",Mostly Positive,Day 1 Studios,1,1,1,2,negativo
Le Spy Guy,11.7,76561198031627189,f.e.a.r. 3,F.E.A.R. 3? More like Call Of Duty: Ghosts!............ get it?,"['FPS', 'Horror', 'Action', 'Co-op', 'Multiplayer', 'Shooter', 'Singleplayer', 'Gore', 'Online Co-Op', 'First-Person', 'Bullet Time', 'Sci-fi', 'Adventure', 'Zombies', 'Mechs', 'Story Rich', 'Atmospheric', 'Short', 'Controller']",Mostly Positive,Day 1 Studios,2,3,3,2,neutral
