username,user_id,title,text,tags,sentiment,developer,narrativa,jugabilidad,atmósfera,dificultad,tono_emocional
Chris B,76561197972918264,Valley,"Taking into account this is an indie game, i love it so far.  Far better than many other indie games and worth every penny at sale price of 3.99.  - The graphics and atmosphere are excelent, I recommend headphones.  So far i have been playing it with keyboard and mouse and controls are good.  I see that it has full controller support.  I will give it a try on TV using steam link and surround sound.  Level Design has had me stuck for a minute a few times, but i ahve been able to jump out of my self imposed traps found by exploring off the beaten path.   The level design reminds me a little of darksiders and Destiny.  None of those are really close, but the level design really is nice for an indie game. If this were a game hyped by a big company i might not review it as well, however it shines as an unexpected gem of Steam 2017 Winter Sale.","['Adventure', 'Indie', 'First-Person', 'Action', 'Exploration', 'Parkour', 'Great Soundtrack', 'Singleplayer', 'Open World', 'Sci-fi', 'Atmospheric', 'Walking Simulator', 'Horror', '3D Platformer', 'Story Rich']",Very Positive,Blue Isle Studios,4,4,5,3,positivo
3lives,76561198006215445,Valley,"The game design of Collectible hunting coupled with clumsy storytelling - heavily inspired by Bioshock Infinite, but without the the excitement or humour - that is too preoccupied to explain your gear takes the flow out of running and jumping through some atmospheric level design.","['Adventure', 'Indie', 'First-Person', 'Action', 'Exploration', 'Parkour', 'Great Soundtrack', 'Singleplayer', 'Open World', 'Sci-fi', 'Atmospheric', 'Walking Simulator', 'Horror', '3D Platformer', 'Story Rich']",Very Positive,Blue Isle Studios,2,3,4,2,negativo
Dread Baron Beardly,76561198067851126,Valley,"This has been one my very best gaming experiences in a while. I was skeptical at first because the view looked kind of wierd but once i found the FOV slider and turned it all the way down, it was all fixed. The environments are beautiful, the movement fluid and fun, and the story was complelling and enjoyable. Some people would probably call the game ""short"" by today's standards but I found it to be the perfect length. It was both relaxing and challenging. Very good game.","['Adventure', 'Indie', 'First-Person', 'Action', 'Exploration', 'Parkour', 'Great Soundtrack', 'Singleplayer', 'Open World', 'Sci-fi', 'Atmospheric', 'Walking Simulator', 'Horror', '3D Platformer', 'Story Rich']",Very Positive,Blue Isle Studios,4,5,5,3,positivo
sho,76561198046404594,Valley,gg,"['Adventure', 'Indie', 'First-Person', 'Action', 'Exploration', 'Parkour', 'Great Soundtrack', 'Singleplayer', 'Open World', 'Sci-fi', 'Atmospheric', 'Walking Simulator', 'Horror', '3D Platformer', 'Story Rich']",Very Positive,Blue Isle Studios,2,3,4,2,neutral
EnricoMezza1981,76561198111949596,Valley,"It's like I keep saying to my wife, just because something is short dosen't mean it's not good!","['Adventure', 'Indie', 'First-Person', 'Action', 'Exploration', 'Parkour', 'Great Soundtrack', 'Singleplayer', 'Open World', 'Sci-fi', 'Atmospheric', 'Walking Simulator', 'Horror', '3D Platformer', 'Story Rich']",Very Positive,Blue Isle Studios,3,4,5,2,positivo
Flori der Fux,76561197972234665,Valley,"Alright, I just finished the game, and I very much enjoyed playing it. Valley ain't super challenging nor original, to put it nicely. It stole quite a lot from other game concepts, especially it reminded me of A Story About My Uncle. The story also is the very old and very typical mad-scientist-goes-too-far-and-nearly-destroys-the-world thing, but for being meh it is still told well. What I seriously loved about the game is the atmosphere. Playing Valley just feels awesome. Fast and fluent gameplay, and still enough time to slow down in between to enjoy the gorgeous graphics and fantastic soundtrack made it a great adventure for me. And Valley leaves it to you weather to speedrun the game, or take your time for searching the areas for hidden amulets and secrets. I did take my time and was surprised about how many amulets I must have missed still. Valley could have provided some more playtime maybe, but then for it being an indie-production at a very fair price, it rewards you with a lot of fun and deserves way more attention than it actually achived.","['Adventure', 'Indie', 'First-Person', 'Action', 'Exploration', 'Parkour', 'Great Soundtrack', 'Singleplayer', 'Open World', 'Sci-fi', 'Atmospheric', 'Walking Simulator', 'Horror', '3D Platformer', 'Story Rich']",Very Positive,Blue Isle Studios,3,4,5,2,positivo
Lakrits,76561197967654397,Valley,Great parkour/3d-platformer with an interesting story!,"['Adventure', 'Indie', 'First-Person', 'Action', 'Exploration', 'Parkour', 'Great Soundtrack', 'Singleplayer', 'Open World', 'Sci-fi', 'Atmospheric', 'Walking Simulator', 'Horror', '3D Platformer', 'Story Rich']",Very Positive,Blue Isle Studios,4,5,4,2,positivo
Varkster,76561197970585058,Valley,"A very enjoyable game. Excellent atmosphere and environments, well realised. (The concept art work at the end credits is worth checking out too.) The story isn't Earth-shattering (excuse the pun), but is well told and sufficiently engaging. There are notes scattered about if you care to read more into the story, but the majority is (very well) voice-acted in-game while continuing to play. This means there are no flow-breaking cutscenes, which was an excellent choice here; far more immersive. I thought the game length was ideal for the price. It felt varied, complete and rewarding. Without outstaying its welcome or intruducing 'padding' just for the sake of making the game longer. It's certainly not a challenging game; yet I still felt involved enough to play all the way through before I realised this. On the negatives side, there were a couple of places where it was really unclear what to do; which were inevitably game-blocking. This in not unusual in this kind of game, and it's probably better than never feeling that you actually had to contribute something to progress. Also, there is no save feature; instead checkpoints are used. This actually works really well while playing; being able to save before every single action would probably break the game considerably. The problem comes when you have to stop playing (yes; some of us do ;). Then you can only re-start and the beginning of the entire area, potentially losing considerable progress. A final negative is that I didn't enjoy the in-door sections nearly as much as being outside. Unfortunately, the majority of the game seemed to be played in some kind of 'facility' or another. Making far too little use of the tititular 'Valley' imo. Overall though the game's negatives were insignificant compared to its appeal. Not many games hold my attention right until the end, but this definitely did. Highly recommended.","['Adventure', 'Indie', 'First-Person', 'Action', 'Exploration', 'Parkour', 'Great Soundtrack', 'Singleplayer', 'Open World', 'Sci-fi', 'Atmospheric', 'Walking Simulator', 'Horror', '3D Platformer', 'Story Rich']",Very Positive,Blue Isle Studios,4,4,5,2,positivo
Lord Freakshow,76561198011250864,Valley,"Game with a very nice setting and soundtrack. The story is quite nice as well and youre given some nice abilities to play with. The puzzles arent really a challnge though, neither are the enemies. And the story can be beat in 5 hours. If youre just in it for the experience, you wont miss the mark, otherwise wait for a sale.","['Adventure', 'Indie', 'First-Person', 'Action', 'Exploration', 'Parkour', 'Great Soundtrack', 'Singleplayer', 'Open World', 'Sci-fi', 'Atmospheric', 'Walking Simulator', 'Horror', '3D Platformer', 'Story Rich']",Very Positive,Blue Isle Studios,4,3,5,2,positivo
Brjyndrrwuulf,76561197970929179,Valley,"Almost like another version of Tomb Raider situated out in the wide open spaces , is it worth playing , absolutely yes , if you don't want to spend much just wait till the next Steam sale but it is really worth a try , love it . Just get it already . Hope there will be a followup to this with maybe some more action , or not just according as to what direction the developers will take this title in , hope this won't be a one off .","['Adventure', 'Indie', 'First-Person', 'Action', 'Exploration', 'Parkour', 'Great Soundtrack', 'Singleplayer', 'Open World', 'Sci-fi', 'Atmospheric', 'Walking Simulator', 'Horror', '3D Platformer', 'Story Rich']",Very Positive,Blue Isle Studios,4,4,5,2,positivo
